GRCh38_ENSG00000142623	GRCh38_PADI1
GRCh38_ENSG00000142619	GRCh38_PADI3
GRCh38_ENSG00000159339	GRCh38_PADI4
GRCh38_ENSG00000276747	GRCh38_PADI6
GRCh38_ENSG00000179051	GRCh38_RCC2
GRCh38_ENSG00000074964	GRCh38_ARHGEF10L
GRCh38_ENSG00000117148	GRCh38_ACTL8
GRCh38_ENSG00000117154	GRCh38_IGSF21
GRCh38_ENSG00000179023	GRCh38_KLHDC7A
GRCh38_ENSG00000009709	GRCh38_PAX7
GRCh38_ENSG00000179002	GRCh38_TAS1R2
GRCh38_ENSG00000255275	GRCh38_AL080251.1
GRCh38_ENSG00000159423	GRCh38_ALDH4A1
GRCh38_ENSG00000169991	GRCh38_IFFO2
GRCh38_ENSG00000127481	GRCh38_UBR4
GRCh38_ENSG00000127463	GRCh38_EMC1
GRCh38_ENSG00000053372	GRCh38_MRTO4
GRCh38_ENSG00000162482	GRCh38_AKR7A3
GRCh38_ENSG00000053371	GRCh38_AKR7A2
GRCh38_ENSG00000040487	GRCh38_PQLC2
GRCh38_ENSG00000077549	GRCh38_CAPZB
GRCh38_ENSG00000173436	GRCh38_MINOS1
GRCh38_ENSG00000158747	GRCh38_NBL1
GRCh38_ENSG00000270136	GRCh38_MINOS1-NBL1
GRCh38_ENSG00000158748	GRCh38_HTR6
GRCh38_ENSG00000162542	GRCh38_TMCO4
GRCh38_ENSG00000178828	GRCh38_RNF186
GRCh38_ENSG00000169914	GRCh38_OTUD3
GRCh38_ENSG00000188784	GRCh38_PLA2G2E
GRCh38_ENSG00000188257	GRCh38_PLA2G2A
GRCh38_ENSG00000127472	GRCh38_PLA2G5
GRCh38_ENSG00000117215	GRCh38_PLA2G2D
GRCh38_ENSG00000158786	GRCh38_PLA2G2F
GRCh38_ENSG00000187980	GRCh38_PLA2G2C
GRCh38_ENSG00000162543	GRCh38_UBXN10
GRCh38_ENSG00000158816	GRCh38_VWA5B1
GRCh38_ENSG00000162545	GRCh38_CAMK2N1
GRCh38_ENSG00000090432	GRCh38_MUL1
GRCh38_ENSG00000183114	GRCh38_FAM43B
GRCh38_ENSG00000158825	GRCh38_CDA
GRCh38_ENSG00000158828	GRCh38_PINK1
GRCh38_ENSG00000244038	GRCh38_DDOST
GRCh38_ENSG00000117245	GRCh38_KIF17
GRCh38_ENSG00000189410	GRCh38_SH2D5
GRCh38_ENSG00000127483	GRCh38_HP1BP3
GRCh38_ENSG00000075151	GRCh38_EIF4G3
GRCh38_ENSG00000117298	GRCh38_ECE1
GRCh38_ENSG00000142794	GRCh38_NBPF3
GRCh38_ENSG00000162551	GRCh38_ALPL
GRCh38_ENSG00000076864	GRCh38_RAP1GAP
GRCh38_ENSG00000090686	GRCh38_USP48
GRCh38_ENSG00000187942	GRCh38_LDLRAD2
GRCh38_ENSG00000142798	GRCh38_HSPG2
GRCh38_ENSG00000219073	GRCh38_CELA3B
GRCh38_ENSG00000142789	GRCh38_CELA3A
